"time","dateout1","dateout2"
0,1,1
0.05,1,1
0.1,1,1
0.15,1,1
0.2,1,1
0.25,1,1
0.3,1,1
0.35,1,1
0.4,1,1
0.45,1,1
0.5,1,1
0.55,1,1
0.6000000000000001,1,1
0.65,1,1
0.7000000000000001,1,1
0.75,1,1
0.8,1,1
0.8500000000000001,1,1
0.9,1,1
0.9500000000000001,1,1
1,1,1
1,1,1
1.05,1,1
1.1,1,1
1.15,1,1
1.2,1,1
1.25,1,1
1.3,1,1
1.35,1,1
1.4,1,1
1.45,1,1
1.5,1,1
1.55,1,1
1.6,1,1
1.65,1,1
1.7,1,1
1.75,1,1
1.8,1,1
1.85,1,1
1.9,1,1
1.95,1,1
2,1,1
2.05,1,1
2.1,1,1
2.15,1,1
2.2,1,1
2.25,1,1
2.3,1,1
2.35,1,1
2.4,1,1
2.45,1,1
2.5,1,1
2.55,1,1
2.6,1,1
2.65,1,1
2.7,1,1
2.75,1,1
2.8,1,1
2.85,1,1
2.9,1,1
2.95,1,1
3,1,1
3.05,1,1
3.1,1,1
3.15,1,1
3.2,1,1
3.25,1,1
3.3,1,1
3.35,1,1
3.4,1,1
3.45,1,1
3.5,1,1
3.55,1,1
3.6,1,1
3.65,1,1
3.7,1,1
3.75,1,1
3.8,1,1
3.85,1,1
3.9,1,1
3.95,1,1
4,1,1
4.05,1,1
4.100000000000001,1,1
4.15,1,1
4.2,1,1
4.25,1,1
4.3,1,1
4.350000000000001,1,1
4.4,1,1
4.45,1,1
4.5,1,1
4.55,1,1
4.600000000000001,1,1
4.65,1,1
4.7,1,1
4.75,1,1
4.800000000000001,1,1
4.850000000000001,1,1
4.9,1,1
4.95,1,1
5,1,1
5.050000000000001,1,1
5.100000000000001,1,1
5.15,1,1
5.2,1,1
5.25,1,1
5.300000000000001,1,1
5.350000000000001,1,1
5.4,1,1
5.45,1,1
5.5,1,1
5.550000000000001,1,1
5.600000000000001,1,1
5.65,1,1
5.7,1,1
5.75,1,1
5.800000000000001,1,1
5.850000000000001,1,1
5.9,1,1
5.95,1,1
6,1,1
6.050000000000001,1,1
6.100000000000001,1,1
6.15,1,1
6.2,1,1
6.25,1,1
6.300000000000001,1,1
6.350000000000001,1,1
6.4,1,1
6.45,1,1
6.5,1,1
6.550000000000001,1,1
6.600000000000001,1,1
6.65,1,1
6.7,1,1
6.75,1,1
6.800000000000001,1,1
6.850000000000001,1,1
6.9,1,1
6.95,1,1
7,1,1
7.050000000000001,1,1
7.100000000000001,1,1
7.15,1,1
7.2,1,1
7.25,1,1
7.300000000000001,1,1
7.350000000000001,1,1
7.4,1,1
7.45,1,1
7.5,1,1
7.550000000000001,1,1
7.600000000000001,1,1
7.65,1,1
7.7,1,1
7.75,1,1
7.800000000000001,1,1
7.850000000000001,1,1
7.9,1,1
7.95,1,1
8,1,1
8.050000000000001,1,1
8.1,1,1
8.15,1,1
8.200000000000001,1,1
8.25,1,1
8.300000000000001,1,1
8.35,1,1
8.4,1,1
8.450000000000001,1,1
8.5,1,1
8.550000000000001,1,1
8.6,1,1
8.65,1,1
8.700000000000001,1,1
8.75,1,1
8.800000000000001,1,1
8.85,1,1
8.9,1,1
8.950000000000001,1,1
9,1,1
9.050000000000001,1,1
9.1,1,1
9.15,1,1
9.200000000000001,1,1
9.25,1,1
9.300000000000001,1,1
9.35,1,1
9.4,1,1
9.450000000000001,1,1
9.5,1,1
9.550000000000001,1,1
9.600000000000001,1,1
9.65,1,1
9.700000000000001,1,1
9.75,1,1
9.800000000000001,1,1
9.850000000000001,1,1
9.9,1,1
9.950000000000001,1,1
10,1,1
10.05,1,1
10.1,1,1
10.15,1,1
10.2,1,1
10.25,1,1
10.3,1,1
10.35,1,1
10.4,1,1
10.45,1,1
10.5,1,1
10.55,1,1
10.6,1,1
10.65,1,1
10.7,1,1
10.75,1,1
10.8,1,1
10.85,1,1
10.9,1,1
10.95,1,1
11,1,1
11.05,1,1
11.1,1,1
11.15,1,1
11.2,1,1
11.25,1,1
11.3,1,1
11.35,1,1
11.4,1,1
11.45,1,1
11.5,1,1
11.55,1,1
11.6,1,1
11.65,1,1
11.7,1,1
11.75,1,1
11.8,1,1
11.85,1,1
11.9,1,1
11.95,1,1
12,1,1
12.05,1,1
12.1,1,1
12.15,1,1
12.2,1,1
12.25,1,1
12.3,1,1
12.35,1,1
12.4,1,1
12.45,1,1
12.5,1,1
12.55,1,1
12.6,1,1
12.65,1,1
12.7,1,1
12.75,1,1
12.8,1,1
12.85,1,1
12.9,1,1
12.95,1,1
13,1,1
13.05,1,1
13.1,1,1
13.15,1,1
13.2,1,1
13.25,1,1
13.3,1,1
13.35,1,1
13.4,1,1
13.45,1,1
13.5,1,1
13.55,1,1
13.6,1,1
13.65,1,1
13.7,1,1
13.75,1,1
13.8,1,1
13.85,1,1
13.9,1,1
13.95,1,1
14,1,1
14.05,1,1
14.1,1,1
14.15,1,1
14.2,1,1
14.25,1,1
14.3,1,1
14.35,1,1
14.4,1,1
14.45,1,1
14.5,1,1
14.55,1,1
14.6,1,1
14.65,1,1
14.7,1,1
14.75,1,1
14.8,1,1
14.85,1,1
14.9,1,1
14.95,1,1
15,1,1
15.05,1,1
15.1,1,1
15.15,1,1
15.2,1,1
15.25,1,1
15.3,1,1
15.35,1,1
15.4,1,1
15.45,1,1
15.5,1,1
15.55,1,1
15.6,1,1
15.65,1,1
15.7,1,1
15.75,1,1
15.8,1,1
15.85,1,1
15.9,1,1
15.95,1,1
16,1,1
16.05,1,1
16.1,1,1
16.15,1,1
16.2,1,1
16.25,1,1
16.3,1,1
16.35,1,1
16.4,1,1
16.45,1,1
16.5,1,1
16.55,1,1
16.6,1,1
16.65,1,1
16.7,1,1
16.75,1,1
16.8,1,1
16.85,1,1
16.9,1,1
16.95,1,1
17,1,1
17.05,1,1
17.1,1,1
17.15,1,1
17.2,1,1
17.25,1,1
17.3,1,1
17.35,1,1
17.4,1,1
17.45,1,1
17.5,1,1
17.55,1,1
17.6,1,1
17.65,1,1
17.7,1,1
17.75,1,1
17.8,1,1
17.85,1,1
17.9,1,1
17.95,1,1
18,1,1
18.05,1,1
18.1,1,1
18.15,1,1
18.2,1,1
18.25,1,1
18.3,1,1
18.35,1,1
18.4,1,1
18.45,1,1
18.5,1,1
18.55,1,1
18.6,1,1
18.65,1,1
18.7,1,1
18.75,1,1
18.8,1,1
18.85,1,1
18.9,1,1
18.95,1,1
19,1,1
19.05,1,1
19.1,1,1
19.15,1,1
19.2,1,1
19.25,1,1
19.3,1,1
19.35,1,1
19.4,1,1
19.45,1,1
19.5,1,1
19.55,1,1
19.6,1,1
19.65,1,1
19.7,1,1
19.75,1,1
19.8,1,1
19.85,1,1
19.9,1,1
19.95,1,1
20,1,1
20.05,1,1
20.1,1,1
20.15,1,1
20.2,1,1
20.25,1,1
20.3,1,1
20.35,1,1
20.4,1,1
20.45,1,1
20.5,1,1
20.55,1,1
20.6,1,1
20.65,1,1
20.7,1,1
20.75,1,1
20.8,1,1
20.85,1,1
20.9,1,1
20.95,1,1
21,1,1
21.05,1,1
21.1,1,1
21.15,1,1
21.2,1,1
21.25,1,1
21.3,1,1
21.35,1,1
21.4,1,1
21.45,1,1
21.5,1,1
21.55,1,1
21.6,1,1
21.65,1,1
21.7,1,1
21.75,1,1
21.8,1,1
21.85,1,1
21.9,1,1
21.95,1,1
22,1,1
22.05,1,1
22.1,1,1
22.15,1,1
22.2,1,1
22.25,1,1
22.3,1,1
22.35,1,1
22.4,1,1
22.45,1,1
22.5,1,1
22.55,1,1
22.6,1,1
22.65,1,1
22.7,1,1
22.75,1,1
22.8,1,1
22.85,1,1
22.9,1,1
22.95,1,1
23,1,1
23.05,1,1
23.1,1,1
23.15,1,1
23.2,1,1
23.25,1,1
23.3,1,1
23.35,1,1
23.4,1,1
23.45,1,1
23.5,1,1
23.55,1,1
23.6,1,1
23.65,1,1
23.7,1,1
23.75,1,1
23.8,1,1
23.85,1,1
23.9,1,1
23.95,1,1
24,1,1
24.05,1,1
24.1,1,1
24.15,1,1
24.2,1,1
24.25,1,1
24.3,1,1
24.35,1,1
24.4,1,1
24.45,1,1
24.5,1,1
24.55,1,1
24.6,1,1
24.65,1,1
24.7,1,1
24.75,1,1
24.8,1,1
24.85,1,1
24.9,1,1
24.95,1,1
25,1,1
