"time","y","z"
0.0000000000000000E+000,2.0000000000000000E+001,0.0000000000000000E+000
2.0000000000000000E-002,1.9997965557211295E+001,-1.9613299999999997E-001
4.0000000000000001E-002,1.9992084092353068E+001,-3.9226600000000000E-001
6.0000000000000005E-002,1.9982290629996559E+001,-5.8839900000000001E-001
8.0000000000000002E-002,1.9968565473359810E+001,-7.8453200000000001E-001
1.0999999999999999E-001,1.9940616204617484E+001,-1.0787314999999997E+000
1.2999999999999998E-001,1.9917071316060650E+001,-1.2748644999999996E+000
1.4999999999999999E-001,1.9889585709030925E+001,-1.4709975000000000E+000
1.6000000000000000E-001,1.9874361082729127E+001,-1.5690640000000000E+000
1.8000000000000002E-001,1.9840990699258157E+001,-1.7651969999999999E+000
2.0000000000000004E-001,1.9803706915807986E+001,-1.9613300000000002E+000
2.2000000000000006E-001,1.9762515368708829E+001,-2.1574629999999999E+000
2.4000000000000007E-001,1.9717394438913971E+001,-2.3535960000000000E+000
2.6000000000000006E-001,1.9668353902719883E+001,-2.5497290000000001E+000
2.8000000000000008E-001,1.9615393760126576E+001,-2.7458620000000002E+000
3.0000000000000010E-001,1.9558513341042158E+001,-2.9419950000000004E+000
3.2000000000000012E-001,1.9497707872163527E+001,-3.1381280000000005E+000
3.4000000000000014E-001,1.9432980436287501E+001,-3.3342610000000006E+000
3.6000000000000015E-001,1.9364331033414071E+001,-3.5303940000000011E+000
3.8000000000000017E-001,1.9291759663543246E+001,-3.7265270000000008E+000
4.0000000000000019E-001,1.9215266326675021E+001,-3.9226600000000014E+000
4.2000000000000021E-001,1.9134851022809393E+001,-4.1187930000000010E+000
4.4000000000000022E-001,1.9050513153559475E+001,-4.3149260000000016E+000
4.6000000000000024E-001,1.8962252966090436E+001,-4.5110590000000022E+000
4.8000000000000026E-001,1.8870070448934925E+001,-4.7071920000000018E+000
5.0000000000000022E-001,1.8773965552870166E+001,-4.9033250000000015E+000
5.2000000000000024E-001,1.8673938228673379E+001,-5.0994580000000020E+000
5.4000000000000026E-001,1.8569988427121782E+001,-5.2955910000000017E+000
5.6000000000000028E-001,1.8462116098992592E+001,-5.4917240000000023E+000
5.8000000000000029E-001,1.8350321078993048E+001,-5.6878570000000019E+000
6.0000000000000031E-001,1.8234602672437124E+001,-5.8839900000000025E+000
6.2000000000000033E-001,1.8114961561113837E+001,-6.0801230000000022E+000
6.4000000000000035E-001,1.7991397745023189E+001,-6.2762560000000027E+000
6.6000000000000036E-001,1.7863911224165179E+001,-6.4723890000000033E+000
6.8000000000000038E-001,1.7732501998539806E+001,-6.6685220000000029E+000
7.0000000000000040E-001,1.7597170068147072E+001,-6.8646550000000035E+000
7.2000000000000042E-001,1.7457915432986976E+001,-7.0607880000000032E+000
7.4000000000000044E-001,1.7314738093059514E+001,-7.2569210000000037E+000
7.6000000000000045E-001,1.7167638048364697E+001,-7.4530540000000034E+000
7.8000000000000047E-001,1.7016615298902511E+001,-7.6491870000000040E+000
8.0000000000000049E-001,1.6861669844672967E+001,-7.8453200000000045E+000
8.2000000000000051E-001,1.6702801854614538E+001,-8.0414530000000042E+000
8.4000000000000052E-001,1.6540011416070865E+001,-8.2375860000000038E+000
8.6000000000000054E-001,1.6373298376731555E+001,-8.4337190000000035E+000
8.8000000000000056E-001,1.6202662745372816E+001,-8.6298520000000032E+000
9.0000000000000058E-001,1.6028104530770847E+001,-8.8259850000000046E+000
9.2000000000000060E-001,1.5849623741701855E+001,-9.0221180000000043E+000
9.4000000000000061E-001,1.5667220386942034E+001,-9.2182510000000040E+000
9.6000000000000063E-001,1.5480894475267592E+001,-9.4143840000000054E+000
9.8000000000000065E-001,1.5290646015454723E+001,-9.6105170000000051E+000
1.0000000000000007E+000,1.5096475016279637E+001,-9.8066500000000048E+000
1.0200000000000007E+000,1.4898381486518531E+001,-1.0002783000000004E+001
1.0400000000000007E+000,1.4696365434947605E+001,-1.0198916000000006E+001
1.0600000000000007E+000,1.4490426870343065E+001,-1.0395049000000006E+001
1.0800000000000007E+000,1.4280565801481110E+001,-1.0591182000000005E+001
1.1000000000000008E+000,1.4066782237137941E+001,-1.0787315000000007E+001
1.1200000000000008E+000,1.3849076037468253E+001,-1.0983448000000006E+001
1.1400000000000008E+000,1.3627446374469795E+001,-1.1179581000000006E+001
1.1600000000000008E+000,1.3401893953395236E+001,-1.1375714000000006E+001
1.1800000000000008E+000,1.3172418749439899E+001,-1.1571847000000005E+001
1.2000000000000008E+000,1.2939020736194148E+001,-1.1767980000000007E+001
1.2200000000000009E+000,1.2701699885643380E+001,-1.1964113000000006E+001
1.2400000000000009E+000,1.2460456168168029E+001,-1.2160246000000008E+001
1.2600000000000009E+000,1.2215289552543565E+001,-1.2356379000000008E+001
1.2800000000000009E+000,1.1966200005940493E+001,-1.2552512000000007E+001
1.3000000000000009E+000,1.1713187493924353E+001,-1.2748645000000007E+001
1.3200000000000010E+000,1.1456251980455724E+001,-1.2944778000000007E+001
1.3400000000000010E+000,1.1195393427890219E+001,-1.3140911000000008E+001
1.3600000000000010E+000,1.0930611796978482E+001,-1.3337044000000008E+001
1.3800000000000010E+000,1.0661907046866203E+001,-1.3533177000000007E+001
1.4000000000000010E+000,1.0389279135094098E+001,-1.3729310000000009E+001
1.4200000000000010E+000,1.0112728017597926E+001,-1.3925443000000008E+001
1.4400000000000011E+000,9.8322536487084751E+000,-1.4121576000000008E+001
1.4600000000000011E+000,9.5478559811515762E+000,-1.4317709000000008E+001
1.4800000000000011E+000,9.2595349660480917E+000,-1.4513842000000009E+001
1.5000000000000011E+000,8.9672905529139211E+000,-1.4709975000000009E+001
1.5200000000000011E+000,8.6711226896599953E+000,-1.4906108000000009E+001
1.5400000000000011E+000,8.3710347284722708E+000,-1.5102241000000010E+001
1.5600000000000012E+000,8.0670259064690804E+000,-1.5298374000000010E+001
1.5800000000000012E+000,7.7590944502063541E+000,-1.5494507000000009E+001
1.6000000000000012E+000,7.4472403685508466E+000,-1.5690640000000009E+001
1.6200000000000012E+000,7.1314636703693175E+000,-1.5886773000000009E+001
1.6400000000000012E+000,6.8117643645285284E+000,-1.6082906000000008E+001
1.6600000000000013E+000,6.4881424598952364E+000,-1.6279039000000008E+001
1.6800000000000013E+000,6.1605979653362004E+000,-1.6475172000000011E+001
1.7000000000000013E+000,5.8291308897181819E+000,-1.6671305000000011E+001
1.7200000000000013E+000,5.4937412419079390E+000,-1.6867438000000011E+001
1.7400000000000013E+000,5.1544290307722305E+000,-1.7063571000000010E+001
1.7600000000000013E+000,4.8111942651778170E+000,-1.7259704000000010E+001
1.7800000000000014E+000,4.4640369539914557E+000,-1.7455837000000010E+001
1.8000000000000014E+000,4.1129571060799099E+000,-1.7651970000000009E+001
1.8200000000000014E+000,3.7579547303099345E+000,-1.7848103000000012E+001
1.8400000000000014E+000,3.3990298355482911E+000,-1.8044236000000012E+001
1.8600000000000014E+000,3.0361824306617375E+000,-1.8240369000000012E+001
1.8800000000000014E+000,2.6694125245170341E+000,-1.8436502000000011E+001
1.9000000000000015E+000,2.2987201259809411E+000,-1.8632635000000011E+001
1.9200000000000015E+000,1.9241052439202155E+000,-1.8828768000000011E+001
1.9400000000000015E+000,1.5455678872016183E+000,-1.9024901000000010E+001
1.9600000000000015E+000,1.1631080646919083E+000,-1.9221034000000010E+001
1.9800000000000015E+000,7.7672557858227487E-001,-1.9417167000000010E+001
2.0000000000000013E+000,3.8641963602003365E-001,-1.9613300000000010E+001
2.0200000000000009E+000,5.8483687311771185E-003,1.4850308956354015E+001
2.0400000000000005E+000,3.0082776303974990E-001,1.4654175956354017E+001
2.0600000000000001E+000,5.9195208612410888E-001,1.4458042956354021E+001
2.0899999999999994E+000,1.0212802108678041E+000,1.4163843456354023E+001
2.1099999999999990E+000,1.3025950578187357E+000,1.3967710456354027E+001
2.1299999999999986E+000,1.5799877845584058E+000,1.3771577456354031E+001
2.1499999999999981E+000,1.8534579682397012E+000,1.3575444456354035E+001
2.1699999999999977E+000,2.1230054584832128E+000,1.3379311456354039E+001
2.1899999999999973E+000,2.3886303193919365E+000,1.3183178456354044E+001
2.2099999999999969E+000,2.6503325162171829E+000,1.2987045456354048E+001
2.2299999999999964E+000,2.9081120648001084E+000,1.2790912456354052E+001
2.2499999999999960E+000,3.1619689651407112E+000,1.2594779456354056E+001
2.2699999999999956E+000,3.4119032103556335E+000,1.2398646456354060E+001
2.2899999999999952E+000,3.6579147954543911E+000,1.2202513456354064E+001
2.3099999999999947E+000,3.9000037256670308E+000,1.2006380456354067E+001
2.3299999999999943E+000,4.1381700009935534E+000,1.1810247456354071E+001
2.3499999999999939E+000,4.3724136214339593E+000,1.1614114456354075E+001
2.3699999999999934E+000,4.6027345869882481E+000,1.1417981456354081E+001
2.3899999999999930E+000,4.8291328952328021E+000,1.1221848456354087E+001
2.4099999999999926E+000,5.0516085446660863E+000,1.1025715456354092E+001
2.4299999999999922E+000,5.2701615364604812E+000,1.0829582456354096E+001
2.4499999999999917E+000,5.4847918702068643E+000,1.0633449456354100E+001
2.4699999999999913E+000,5.6954995454961130E+000,1.0437316456354104E+001
2.4899999999999909E+000,5.9022845619191076E+000,1.0241183456354108E+001
2.5099999999999905E+000,6.1051469190667227E+000,1.0045050456354112E+001
2.5299999999999900E+000,6.3040866165298386E+000,9.8489174563541155E+000
2.5499999999999896E+000,6.4991036538993336E+000,9.6527844563541212E+000
2.5699999999999892E+000,6.6901980307660844E+000,9.4566514563541251E+000
2.5899999999999888E+000,6.8773697401365093E+000,9.2605184563541290E+000
2.6099999999999883E+000,7.0606187883826594E+000,9.0643854563541346E+000
2.6299999999999879E+000,7.2399451756098125E+000,8.8682524563541385E+000
2.6499999999999875E+000,7.4153489018179668E+000,8.6721194563541424E+000
2.6699999999999871E+000,7.5868299670071222E+000,8.4759864563541463E+000
2.6899999999999866E+000,7.7543883711772805E+000,8.2798534563541502E+000
2.7099999999999862E+000,7.9180241143284391E+000,8.0837204563541540E+000
2.7299999999999858E+000,8.0777371964605997E+000,7.8875874563541588E+000
2.7499999999999853E+000,8.2335276175737615E+000,7.6914544563541627E+000
2.7699999999999849E+000,8.3853953776679262E+000,7.4953214563541675E+000
2.7899999999999845E+000,8.5333404767430903E+000,7.2991884563541714E+000
2.8099999999999841E+000,8.6773629147992573E+000,7.1030554563541752E+000
2.8299999999999836E+000,8.8174626918364272E+000,6.9069224563541800E+000
2.8499999999999832E+000,8.9536398078545965E+000,6.7107894563541839E+000
2.8699999999999828E+000,9.0858942628537669E+000,6.5146564563541887E+000
2.8899999999999824E+000,9.2142260568339420E+000,6.3185234563541925E+000
2.9099999999999819E+000,9.3386351965911487E+000,6.1223904563541991E+000
2.9299999999999815E+000,9.4591216767295645E+000,5.9262574563542030E+000
2.9499999999999811E+000,9.5756854972928522E+000,5.7301244563542069E+000
2.9699999999999807E+000,9.6883266583721763E+000,5.5339914563542116E+000
2.9899999999999802E+000,9.7970451600586994E+000,5.3378584563542155E+000
3.0099999999999798E+000,9.9018410024435823E+000,5.1417254563542194E+000
3.0299999999999794E+000,1.0002714185617986E+001,4.9455924563542242E+000
3.0499999999999790E+000,1.0099664709673075E+001,4.7494594563542281E+000
3.0699999999999785E+000,1.0192692574700009E+001,4.5533264563542328E+000
3.0899999999999781E+000,1.0281797780789949E+001,4.3571934563542367E+000
3.1099999999999777E+000,1.0366980328034062E+001,4.1610604563542406E+000
3.1299999999999772E+000,1.0448240216523505E+001,3.9649274563542449E+000
3.1499999999999768E+000,1.0525577446349445E+001,3.7687944563542493E+000
3.1699999999999764E+000,1.0598992017603040E+001,3.5726614563542531E+000
3.1899999999999760E+000,1.0668483930375450E+001,3.3765284563542579E+000
3.2099999999999755E+000,1.0734053184757844E+001,3.1803954563542618E+000
3.2299999999999751E+000,1.0795699780841380E+001,2.9842624563542661E+000
3.2499999999999747E+000,1.0853423718717218E+001,2.7881294563542705E+000
3.2699999999999743E+000,1.0907224998476524E+001,2.5919964563542743E+000
3.2899999999999738E+000,1.0957103620210459E+001,2.3958634563542787E+000
3.3099999999999734E+000,1.1003059584010183E+001,2.1997304563542830E+000
3.3299999999999730E+000,1.1045092889966858E+001,2.0035974563542869E+000
3.3499999999999726E+000,1.1083203538171652E+001,1.8074644563542912E+000
3.3699999999999721E+000,1.1117391528715716E+001,1.6113314563542953E+000
3.3899999999999717E+000,1.1147656836660611E+001,1.4151984563543012E+000
3.4099999999999713E+000,1.1173999484005202E+001,1.2190654563543051E+000
3.4299999999999708E+000,1.1196419471053252E+001,1.0229324563543090E+000
3.4499999999999704E+000,1.1214916797804760E+001,8.2679945635431285E-001
3.4699999999999700E+000,1.1229491464259727E+001,6.3066645635431673E-001
3.4899999999999696E+000,1.1240143470418150E+001,4.3453345635432150E-001
3.5099999999999691E+000,1.1246872816280035E+001,2.3840045635432630E-001
3.5299999999999687E+000,1.1249679501845375E+001,4.2267456354330192E-002
3.5499999999999683E+000,1.1248563527114175E+001,-1.5386554364566593E-001
3.5699999999999679E+000,1.1243524892086434E+001,-3.4999854364566202E-001
3.5899999999999674E+000,1.1234563596762149E+001,-5.4613154364565730E-001
3.6099999999999670E+000,1.1221679641141323E+001,-7.4226454364565342E-001
3.6299999999999666E+000,1.1204873025223957E+001,-9.3839754364564953E-001
3.6499999999999662E+000,1.1184143749010049E+001,-1.1345305436456457E+000
3.6699999999999657E+000,1.1159491812499597E+001,-1.3306635436456409E+000
3.6899999999999653E+000,1.1130917215692605E+001,-1.5267965436456361E+000
3.7099999999999649E+000,1.1098419958589073E+001,-1.7229295436456322E+000
3.7299999999999645E+000,1.1062000041188996E+001,-1.9190625436456283E+000
3.7499999999999640E+000,1.1021657463492378E+001,-2.1151955436456240E+000
3.7699999999999636E+000,1.0977392225499219E+001,-2.3113285436456201E+000
3.7899999999999632E+000,1.0929204327209520E+001,-2.5074615436456158E+000
3.8099999999999627E+000,1.0877093768623279E+001,-2.7035945436456115E+000
3.8299999999999623E+000,1.0821060549740494E+001,-2.8997275436456071E+000
3.8499999999999619E+000,1.0761104670561169E+001,-3.0958605436456033E+000
3.8699999999999615E+000,1.0697226131085301E+001,-3.2919935436455994E+000
3.8899999999999610E+000,1.0629424931312892E+001,-3.4881265436455950E+000
3.9099999999999606E+000,1.0557701071243940E+001,-3.6842595436455907E+000
3.9299999999999602E+000,1.0482054550878448E+001,-3.8803925436455864E+000
3.9499999999999598E+000,1.0402485370216416E+001,-4.0765255436455821E+000
3.9699999999999593E+000,1.0318993529257838E+001,-4.2726585436455782E+000
3.9899999999999589E+000,1.0231579028002722E+001,-4.4687915436455743E+000
4.0099999999999589E+000,1.0140241866451060E+001,-4.6649245436455740E+000
4.0299999999999585E+000,1.0044982044602861E+001,-4.8610575436455701E+000
4.0499999999999581E+000,9.9457995624581184E+000,-5.0571905436455662E+000
4.0699999999999577E+000,9.8426944200168336E+000,-5.2533235436455614E+000
4.0899999999999572E+000,9.7356666172790085E+000,-5.4494565436455575E+000
4.1099999999999568E+000,9.6247161542446413E+000,-5.6455895436455537E+000
4.1299999999999564E+000,9.5098430309137321E+000,-5.8417225436455489E+000
4.1499999999999559E+000,9.3910472472862807E+000,-6.0378555436455450E+000
4.1699999999999555E+000,9.2683288060509330E+000,-6.2339885436455411E+000
4.1899999999999551E+000,9.1416877059865946E+000,-6.4301215436455372E+000
4.2099999999999547E+000,9.0111239459527805E+000,-6.6262545436455333E+000
4.2299999999999542E+000,8.8766375259586017E+000,-6.8223875436455295E+000
4.2499999999999538E+000,8.7382284460131689E+000,-7.0185205436455256E+000
4.2699999999999534E+000,8.5958967061255986E+000,-7.2146535436455217E+000
4.2899999999999530E+000,8.4496423063050035E+000,-7.4107865436455160E+000
4.3099999999999525E+000,8.2994652465604943E+000,-7.6069195436455121E+000
4.3299999999999521E+000,8.1453655269011858E+000,-7.8030525436455083E+000
4.3499999999999517E+000,7.9873431473361896E+000,-7.9991855436455044E+000
4.3699999999999513E+000,7.8253981078746184E+000,-8.1953185436455005E+000
4.3899999999999508E+000,7.6595304085255860E+000,-8.3914515436454966E+000
4.4099999999999504E+000,7.4897400492982040E+000,-8.5875845436454910E+000
4.4299999999999500E+000,7.3160270302015871E+000,-8.7837175436454871E+000
4.4499999999999496E+000,7.1383913512448460E+000,-8.9798505436454832E+000
4.4699999999999491E+000,6.9568330124370945E+000,-9.1759835436454793E+000
4.4899999999999487E+000,6.7713520137874470E+000,-9.3721165436454754E+000
4.5099999999999483E+000,6.5819483553050135E+000,-9.5682495436454715E+000
4.5299999999999478E+000,6.3886220369989086E+000,-9.7643825436454676E+000
4.5499999999999474E+000,6.1913730588782450E+000,-9.9605155436454638E+000
4.5699999999999470E+000,5.9902014209521344E+000,-1.0156648543645458E+001
4.5899999999999466E+000,5.7851071232296913E+000,-1.0352781543645454E+001
4.6099999999999461E+000,5.5760901657200277E+000,-1.0548914543645450E+001
4.6299999999999457E+000,5.3631505484322570E+000,-1.0745047543645446E+001
4.6499999999999453E+000,5.1462882713754912E+000,-1.0941180543645441E+001
4.6699999999999449E+000,4.9255033345588428E+000,-1.1137313543645437E+001
4.6899999999999444E+000,4.7007957379914256E+000,-1.1333446543645433E+001
4.7099999999999440E+000,4.4721654816823522E+000,-1.1529579543645429E+001
4.7299999999999436E+000,4.2396125656407371E+000,-1.1725712543645425E+001
4.7499999999999432E+000,4.0031369898756903E+000,-1.1921845543645421E+001
4.7699999999999427E+000,3.7627387543963251E+000,-1.2117978543645417E+001
4.7899999999999423E+000,3.5184178592117554E+000,-1.2314111543645412E+001
4.8099999999999419E+000,3.2701743043310945E+000,-1.2510244543645408E+001
4.8299999999999415E+000,3.0180080897634540E+000,-1.2706377543645404E+001
4.8499999999999410E+000,2.7619192155179468E+000,-1.2902510543645398E+001
4.8699999999999406E+000,2.5019076816036865E+000,-1.3098643543645395E+001
4.8899999999999402E+000,2.2379734880297844E+000,-1.3294776543645391E+001
4.9099999999999397E+000,1.9701166348053558E+000,-1.3490909543645387E+001
4.9299999999999393E+000,1.6983371219395118E+000,-1.3687042543645383E+001
4.9499999999999389E+000,1.4226349494413655E+000,-1.3883175543645379E+001
4.9699999999999385E+000,1.1430101173200300E+000,-1.4079308543645375E+001
4.9899999999999380E+000,8.5946262558461883E-001,-1.4275441543645371E+001
